TERM,SUBJECT,CATALOG NBR,CLASS SECTION,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,TOTAL DROPPED,AVG GPA
Spring 2019,MATH,1310,1,College Algebra,Caputo,Matthew G,26,24,30,21,36,23,1.869
Spring 2019,MATH,1310,2,College Algebra,Douglas,Casey,12,12,20,8,26,21,1.646
Spring 2019,MATH,1310,3,College Algebra,Caputo,Matthew G,15,11,7,5,13,13,2.183
Spring 2019,MATH,1310,4,College Algebra,Douglas,Casey,29,17,19,8,27,31,2.09
Spring 2019,MATH,1310,8,College Algebra,Xhabli,Blerina,41,14,32,17,35,27,2.039
Spring 2019,MATH,1310,10,College Algebra,Caputo,Matthew G,11,6,4,9,7,12,2.082
Spring 2019,MATH,2331,1,Linear Algebra,Quaini,Annalisa,15,6,16,12,4,7,2.302
Spring 2019,MATH,2331,2,Linear Algebra,Mang,Andreas,21,11,24,0,3,8,2.825
Spring 2019,MATH,2331,3,Linear Algebra,Mamonov,Alexander V,6,11,12,4,3,4,2.343
Spring 2019,MATH,2331,4,Linear Algebra,Herring,James L.,8,5,4,1,3,2,2.667
Spring 2019,MATH,2331,5,Linear Algebra,Perepelitsa,Mikhail Antolyevic,13,12,21,11,5,10,2.311
Spring 2019,MATH,2331,6,Linear Algebra,Wagner,David Hobson,4,6,2,3,3,3,2.278
Spring 2019,MATH,3336,1,Discrete Mathematics,Perepelitsa,Irina,19,25,16,16,2,2,2.454
Spring 2019,MATH,3336,2,Discrete Mathematics,Papadakis,Emanuel Ioannis,18,9,4,0,0,6,3.473
Spring 2019,MATH,3336,3,Discrete Mathematics,Xhabli,Blerina,27,16,10,9,9,4,2.564
Spring 2019,MATH,3336,4,Discrete Mathematics,Karamched,Bhargav Ram,27,15,15,5,9,3,2.68
Spring 2019,MATH,3339,1,Statistics for the Sciences,Papadakis,Emanuel Ioannis,4,5,8,3,5,6,1.947
Spring 2019,MATH,3339,3,Statistics for the Sciences,Labate,Demetrio,10,8,8,2,5,8,2.455
Spring 2019,MATH,3339,4,Statistics for the Sciences,West,James David,82,38,21,10,23,8,2.797
Spring 2019,MATH,3339,5,Statistics for the Sciences,Poliak,Cathy Dawn,121,38,22,7,12,11,3.227
Spring 2019,COSC,1306,1,Computer Science & Program,Huang,Shou-Hsuan Stephen,13,15,13,7,12,30,2.156
Spring 2019,COSC,1306,2,Computer Science & Program,Hilford,Victoria,23,20,18,8,3,15,2.621
Spring 2019,COSC,1306,3,Computer Science & Program,Hilford,Victoria,11,12,6,2,6,7,2.505
Spring 2019,COSC,1306,5,Computer Science & Program,Subhlok,Jaspal,34,28,23,6,12,15,2.573
Spring 2019,COSC,1306,5,Computer Science & Program,Shah,Shishir,34,28,23,6,12,15,2.573
Spring 2019,COSC,1430,1,Introduction to Programming,Toti,Giulia,18,14,24,6,20,18,2.045
Spring 2019,COSC,1430,4,Introduction to Programming,Chen,Guoning,17,27,23,4,7,27,2.539
Spring 2019,COSC,1430,6,Introduction to Programming,Rincon Castro,Carlos Alberto,21,18,10,12,8,24,2.488
Spring 2019,COSC,2430,4,Programming and Data Structure,Rizk,Nouhad J,11,26,14,6,15,30,2.199
Spring 2019,COSC,2430,7,Programming and Data Structure,Rizk,Nouhad J,12,20,19,11,8,36,2.248